influencer_id,name,category,gender,follower_count,platform
1,Alice Perez,Fashion,Male,560258,YouTube
2,Patricia Young,Fitness,Female,846003,Instagram
3,Tammy Knight,Health & Wellness,Male,646185,YouTube
4,Leslie Grant,Lifestyle,Female,816066,Instagram
5,Melanie Fernandez,Fitness,Female,883784,YouTube
6,Ricardo Stanton,Health & Wellness,Male,187025,Twitter
7,Terry Brown,Lifestyle,Female,538448,YouTube
8,Joseph Cardenas,Lifestyle,Female,97516,Instagram
9,Jose Davis,Lifestyle,Female,162125,Instagram
10,Alexandria Gross,Fashion,Male,221828,YouTube
11,Deborah Weber,Fashion,Female,804881,YouTube
12,Heather Fleming,Health & Wellness,Male,248898,YouTube
13,Justin Rivera,Beauty,Female,284743,YouTube
14,Scott Stanley,Beauty,Male,705181,Twitter
15,Beth Johnson,Beauty,Male,161282,Instagram
16,Amanda Miller,Fashion,Male,574755,Instagram
17,Michelle Miller,Beauty,Female,336734,Twitter
18,Kimberly Anderson,Lifestyle,Male,591196,YouTube
19,Charles Collins,Beauty,Male,378239,Twitter
20,Joshua Hall,Lifestyle,Male,882332,Instagram
21,Samuel Martinez,Fashion,Male,763159,YouTube
22,Daniel Walters,Health & Wellness,Male,896885,Twitter
23,Lisa Miller DDS,Fashion,Female,757741,YouTube
24,Brittany Wilson,Beauty,Male,297062,YouTube
25,Christopher Morrison,Beauty,Female,778036,Twitter
26,Abigail Hall,Beauty,Male,714670,Twitter
27,Isabella Carlson,Beauty,Male,766613,Instagram
28,Cristina Patel,Lifestyle,Male,63265,Twitter
29,Margaret Mcdaniel,Beauty,Female,47968,YouTube
30,Robert Hoover,Health & Wellness,Female,684019,Twitter
31,Mary Oneal,Beauty,Female,825119,YouTube
32,David Peterson,Lifestyle,Male,847627,YouTube
33,Crystal Flowers,Health & Wellness,Female,638127,Instagram
34,Carol Pope,Health & Wellness,Female,978505,Twitter
35,Molly Johnson,Lifestyle,Male,610447,YouTube
36,Amber Archer,Beauty,Male,161555,Instagram
37,Jesus Cross,Fitness,Female,494197,Instagram
38,Stephanie Chapman,Lifestyle,Male,466779,YouTube
39,Daniel Chavez,Health & Wellness,Female,680106,Instagram
40,Jesse Garcia,Health & Wellness,Female,518039,Twitter
41,Marc Duncan,Beauty,Female,678666,Twitter
42,Jennifer Jones,Fitness,Male,675373,Instagram
43,Nicholas Munoz,Beauty,Female,389912,YouTube
44,Aimee Rodriguez,Health & Wellness,Male,637502,YouTube
45,Dr. Robert Davis,Beauty,Male,548879,Instagram
46,Jill Luna,Lifestyle,Male,851215,Instagram
47,Tyler Pierce,Fashion,Male,276448,YouTube
48,Peter Browning,Fashion,Female,653893,Twitter
49,Stephanie Hardy,Health & Wellness,Male,230764,Twitter
50,Angela Thomas,Beauty,Female,195074,Instagram
